Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 6 800
1 Bedroom Apartment,Pritoria,Waterkloof Ridge,1,1,3,,R 19 990
2 Bedroom Townhouse,Pritoria,Erasmuskloof,2,2,1,,R 8 300
2.5 Bedroom Apartment,Pritoria,Arcadia,2.5,1.5,1,,R 8 400
3 Bedroom House,Pritoria,The Hills Game Reserve Estate,3,3,1,,R 30 500
2 Bedroom Apartment,Pritoria,Andeon AH,2,1,3,,R 6 500
1.5 Bedroom Apartment,Pritoria,Elarduspark,1.5,1,1,,R 6 900
3 Bedroom Townhouse,Pritoria,La Montagne,3,2,4,,R 12 800
3 Bedroom House,Pritoria,Silver Lakes Golf Estate,3,2,4,,R 30 000
3 Bedroom House,Pritoria,Andeon AH,3,2,,,R 7 910
3 Bedroom Townhouse,Pritoria,Boschkop AH,3,2,,,R 24 200
3 Bedroom Townhouse,Pritoria,Boschkop AH,3,2,,,R 24 200
7 Bedroom House,Pritoria,Brooklyn,7,3,,,R 4 350
2 Bedroom House,Pritoria,Kilner Park,2,1,,,R 6 500
2 Bedroom Apartment,Pritoria,Montana,2,2,1,88 m²,R 10 400
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,1,57 m²,R 5 500
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,140 m²,R 8 500
2 Bedroom Townhouse,Pritoria,Moreleta Park,2,1,1,134 m²,R 10 500
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,,R 10 400
2 Bedroom Apartment,Pritoria,Montana,2,2,2,,R 10 400
3 Bedroom House,Pritoria,The Hills Game Reserve Estate,3,3,5,,R 55 000
5 Bedroom House,Pritoria,Boschkop AH,5,3,2,,R 26 000
2 Bedroom Townhouse,Pritoria,Waterlake Farm Lifestyle Estate,2,2,4,,R 20 000
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3.5,2,,R 40 000
3 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,3,2,2,,R 25 000
3 Bedroom House,Pritoria,Silver Lakes Golf Estate,3,2,1,,R 30 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,2,,R 10 400
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,3,,R 19 000
3 Bedroom Townhouse,Pritoria,Montana,3,2,2,,R 15 000
3 Bedroom House,Pritoria,Equestria,3,2,8,,R 22 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,2,1,,R 35 000
0.5 Bedroom Apartment,Pritoria,Pretoria Central,0.5,1,1,,R 4 650
1 Bedroom Apartment,Pritoria,Grootfontein AH,1,1,1,,R 6 000
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,,,R 6 490
1 Bedroom Apartment,Pritoria,Montana,1,1,,,R 6 000
3 Bedroom Townhouse,Pritoria,Moreleta Park,3,2.5,2,113 m²,R 14 000
3 Bedroom Townhouse,Pritoria,Ashlea Gardens,3,2.5,1,180 m²,R 23 000
3 Bedroom Apartment,Pritoria,Menlo Park,3,3,2,64 m²,R 25 000
2 Bedroom Townhouse,Pritoria,Annlin,2,2,2,170 m²,R 9 850
1 Bedroom Apartment,Pritoria,Mahube Valley,1,1,3,60 m²,R 2 500
3 Bedroom House,Pritoria,Equestria,3,3,2,,R 28 000
2 Bedroom Apartment,Pritoria,Montana,2,1,3,,R 10 600
4 Bedroom House,Pritoria,Montana,4,2,1,,R 25 000
3 Bedroom Apartment,Pritoria,Montana,3,2,2,,R 11 900
2 Bedroom Townhouse,Pritoria,Brooklyn,2,2.5,1,,R 18 500
1 Bedroom House,Pritoria,Elandspoort,1,1,6,,R 2 850
1 Bedroom House,Pritoria,Elandspoort,1,1,3,,R 2 750
2 Bedroom Apartment,Pritoria,Pretoria West,2,1,4,,R 5 000
5 Bedroom House,Pritoria,Zambezi Country Estate,5,3.5,2,,R 30 000
3 Bedroom House,Pritoria,Equestria,3,3,1,,R 28 000
2 Bedroom Apartment,Pritoria,Sunnyside,2,1,4,,R 7 750
3 Bedroom House,Pritoria,Rietondale,3,3,1,,R 27 000
5 Bedroom House,Pritoria,Nellmapius,5,2,,,R 11 000
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,,,R 6 750
3 Bedroom Townhouse,Pritoria,Menlo Park,3,3.5,,,R 25 000
2 Bedroom Apartment,Pritoria,Annlin,2,2,,,R 8 400
2 Bedroom Apartment,Pritoria,Annlin,2,2,1,60 m²,R 8 400
3 Bedroom Apartment,Pritoria,Willow Park Manor,3,2,2,169 m²,R 16 500
1 Bedroom Apartment,Pritoria,Annlin-Wes,1,1,1,1 m²,R 6 150
3 Bedroom Townhouse,Pritoria,Menlo Park,3,3,2,32 m²,R 25 000
3 Bedroom House,Pritoria,Pretoria West,3,3,2,97 m²,R 11 500
3 Bedroom Townhouse,Pritoria,Brooklyn,3,2,4,1 m²,R 35 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,160 m²,R 6 900
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,54 m²,R 7 850
2 Bedroom Apartment,Pritoria,Queenswood,2,2,2,62 m²,R 10 500
5 Bedroom House,Pritoria,Waterkloof,5,3,4,169 m²,R 48 000
3 Bedroom House,Pritoria,Nieuw Muckleneuk,3,3,2,,R 24 700
2 Bedroom Apartment,Pritoria,Sinoville,2,2,2,,R 10 500
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,1,,R 9 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,1,,R 19 400
2 Bedroom Apartment,Pritoria,Die Wilgers,2,1,1,,R 8 950
2 Bedroom Apartment,Pritoria,Sinoville,2,1,2,,R 10 600
6 Bedroom House,Pritoria,Hatfield,6,3,4,,R 4 000
1 Bedroom Apartment,Pritoria,Waterkloof Ridge,1,1,,,R 18 990
3 Bedroom Townhouse,Pritoria,Menlo Park,3,3,,,R 25 000
5 Bedroom House,Pritoria,Six Fountains Residential Estate,5,4.5,,,R 50 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,,,R 4 000
1 Bedroom Apartment,Pritoria,Sunnyside,1,1,2,105 m²,R 4 100
3 Bedroom Townhouse,Pritoria,Oukraal Estate,3,2,1,38 m²,R 11 500
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,6,88 m²,R 6 800
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,3.5,1,85 m²,R 48 000
2 Bedroom House,Pritoria,Montana Tuine,2,2,1,85 m²,R 16 200
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,4,95 m²,R 15 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,2.5,1,,R 48 000
1 Bedroom House,Pritoria,Brooklyn,1,1,1,,R 7 500
0.5 Bedroom Apartment,Pritoria,Montana,0.5,1,1,,R 5 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,,R 10 400
2 Bedroom Apartment,Pritoria,Hatfield,2,1,4,,R 4 000
1 Bedroom Apartment,Pritoria,Sunnyside,1,1,2,,R 4 100
3 Bedroom House,Pritoria,Waterkloof,3,2.5,2,,R 22 500
6 Bedroom Apartment,Pritoria,Sunnyside,6,1,2,,R 2 600
2 Bedroom Apartment,Pritoria,Waterkloof Ridge,2,1,2,,R 18 990
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,6,,R 12 320
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,1,,R 12 320
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3,2,,R 35 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,,,R 7 444
2 Bedroom Apartment,Pritoria,Lynnwood Ridge,2,1,,,R 10 500
1 Bedroom Apartment,Pritoria,Wapadrand,1,1,,,R 5 800
0.5 Bedroom Apartment,Pritoria,Arcadia,0.5,1,1,100 m²,R 4 030
5 Bedroom House,Pritoria,Savannah Country Estate,5,5,3,60 m²,R 25 000
2 Bedroom Apartment,Pritoria,Baileys Muckleneuk,2,2,1,60 m²,R 26 250
2 Bedroom Apartment,Pritoria,Hillcrest,2,2,1,65 m²,R 11 600
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,55 m²,R 10 600
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,97 m²,R 10 200
1 Bedroom Apartment,Pritoria,Arcadia,1,1,1,,R 6 000
House,Pritoria,Atteridgeville,3,2,2,,R 7 100
3 Bedroom House,Pritoria,Villieria,0.5,1,1,,R 11 000
0.5 Bedroom Apartment,Pritoria,Les Marais,1,1,1,,R 3 940
1 Bedroom Apartment,Pritoria,Menlo Park,2,1,3,,R 10 500
2 Bedroom Apartment,Pritoria,Hatfield,5,3,1,,R 11 000
5 Bedroom House,Pritoria,Mamelodi,6,1,2,,R 11 000
6 Bedroom Apartment,Pritoria,Sunnyside,3,2.5,1,,R 2 500
3 Bedroom Townhouse,Pritoria,Ashlea Gardens,2,1,2,,R 23 000
2 Bedroom Apartment,Pritoria,Queenswood,2,2,1,,R 7 800
2 Bedroom Apartment,Pritoria,Queenswood,2,2,1,,R 10 500
2 Bedroom Apartment,Pritoria,Sinoville,2,1,2,,R 10 600
2 Bedroom Apartment,Pritoria,Queenswood,2,2,2,,R 7 800
2 Bedroom Apartment,Pritoria,Waterkloof,2,1,,,R 20 000
2 Bedroom Townhouse,Pritoria,Equestria,,,,,R 12 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,61 m²,R 11 900
3 Bedroom Apartment,Pritoria,Annlin,3,2,1,91 m²,R 11 206
1 Bedroom Apartment,Pritoria,Monument Park,1,1,1,91 m²,R 11 300
2 Bedroom Apartment,Pritoria,Wapadrand,2,1,2,166 m²,R 8 500
3 Bedroom Apartment,Pritoria,Sunnyside,3,1,2,58 m²,R 8 000
4 Bedroom Townhouse,Pritoria,Tijger Vallei,4,2,2,97 m²,R 12 800
1 Bedroom Apartment,Pritoria,Waterkloof Ridge,1,1,1,50 m²,R 18 990
2 Bedroom Townhouse,Pritoria,Moreleta Park,2,2,2,114 m²,R 8 500
1 Bedroom House,Pritoria,Montana Tuine,1,1,1,,R 13 632
3 Bedroom House,Pritoria,Dorandia,3,2,4,,R 13 000
1 Bedroom Apartment,Pritoria,Montana,1,1,1,,R 6 050
2 Bedroom House,Pritoria,Silver Lakes Golf Estate,2,1,2,,R 17 500
1 Bedroom House,Pritoria,Mooiplaats AH,1,1,3,,R 5 300
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,2.5,8,,R 35 000
5 Bedroom House,Pritoria,Woodhill Golf Estate,5,4,6,,R 75 000
6 Bedroom House,Pritoria,Waterkloof,6,6,1,,R 70 000
3 Bedroom Apartment,Pritoria,Annlin,3,2,1,,R 11 206
2 Bedroom House,Pritoria,Muckleneuk,2,2,2,,R 14 000
2 Bedroom Apartment,Pritoria,Lynnwood Manor,2,1,2,,R 10 500
3 Bedroom Apartment,Pritoria,Faerie Glen,3,2,3,,R 15 000
2 Bedroom Townhouse,Pritoria,Equestria,2,2,,,R 11 000
3 Bedroom House,Pritoria,Rietvalleirand,3,2,3,140 m²,R 20 000
0.5 Bedroom Apartment,Pritoria,Lotus Gardens,0.5,1,1,216 m²,R 3 600
2 Bedroom Townhouse,Pritoria,Hatfield,2,2.5,1,122 m²,R 14 000
3 Bedroom Townhouse,Pritoria,Brooklyn,3,3.5,3,125 m²,R 52 000
6 Bedroom House,Pritoria,Waterkloof Heights,6,6,4,80 m²,R 50 000
1 Bedroom Apartment,Pritoria,Wonderboom South,1,1,1,80 m²,R 4 800
3 Bedroom Apartment,Pritoria,Brooklyn,3,3,2,65 m²,R 20 800
2 Bedroom Townhouse,Pritoria,Silver Lakes,2,2,2,160 m²,R 10 800
1 Bedroom Apartment,Pritoria,Hillcrest,1,2,1,,R 5 800
1 Bedroom Apartment,Pritoria,Waterkloof Ridge,1,1,2,,R 18 990
1 Bedroom Apartment,Pritoria,Waterkloof Ridge,1,1,1,,R 18 990
1 Bedroom Apartment,Pritoria,Hatfield,1,1,2,,R 6 025
3 Bedroom House,Pritoria,Wolmer,3,2,1,,R 10 500
1 Bedroom Apartment,Pritoria,Menlo Park,1,1,1,,R 8 500
2 Bedroom Apartment,Pritoria,Hatfield,2,2,4,,R 7 000
1 Bedroom Apartment,Pritoria,Pretoria North,1,1,2,,R 4 500
1 Bedroom Apartment,Pritoria,Menlo Park,1,1,2,,R 7 550
3 Bedroom Townhouse,Pritoria,Hazelwood,3,2,,,R 25 900
1 Bedroom Apartment,Pritoria,Hatfield,1,1,,,R 4 000
5 Bedroom House,Pritoria,Wapadrand,5,5,,,R 28 400
2 Bedroom Townhouse,Pritoria,Boardwalk Meander,2,2,,,R 29 000
0.5 Bedroom House,Pritoria,Waverley,0.5,1,1,58 m²,R 5 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,56 m²,R 9 990
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,1,64 m²,R 6 000
4 Bedroom Townhouse,Pritoria,Pretoria West,4,3,2,85 m²,R 11 000
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,1,105 m²,R 8 800
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,1,30 m²,R 18 990
6 Bedroom House,Pritoria,Brooklyn,6,3,3,,R 32 000
3 Bedroom House,Pritoria,Lombardy Estate,3,3.5,2,,R 40 000
6 Bedroom Apartment,Pritoria,Arcadia,6,2,1,,R 2 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,3.5,2,,R 48 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2.5,2,,R 14 000
4 Bedroom House,Pritoria,Lynnwood Glen,4,2,6,,R 24 000
5 Bedroom House,Pritoria,Silver Lakes Golf Estate,5,5.5,6,,R 130 000
3 Bedroom House,Pritoria,Lombardy Estate,3,3.5,2,,R 40 000
3 Bedroom Townhouse,Pritoria,Woodhill Golf Estate,3,2,2,,R 24 000
2 Bedroom Apartment,Pritoria,Equestria,2,2,2,,R 9 100
1.5 Bedroom Apartment,Pritoria,Arcadia,1.5,2,1,,R 6 000
1 Bedroom Apartment,Pritoria,Capital Park,1,1,2,,R 3 940
3 Bedroom Apartment,Pritoria,Wapadrand,3,2,2,,R 12 500
1.5 Bedroom Apartment,Pritoria,Sunnyside,1.5,1,,,R 6 050
2 Bedroom House,Pritoria,Waterkloof Ridge,2,1,,,R 12 000
2 Bedroom Townhouse,Pritoria,Montana,2,2.5,2,79 m²,R 10 500
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,3,3,64 m²,R 45 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,68 m²,R 12 000
3 Bedroom Apartment,Pritoria,Waterkloof,3,2.5,2,100 m²,R 20 800
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,80 m²,R 8 500
2 Bedroom Apartment,Pritoria,Montana,2,2,2,56 m²,R 8 400
3 Bedroom Townhouse,Pritoria,Erasmus Park,3,3,1,64 m²,R 17 950
2 Bedroom Apartment,Pritoria,Arcadia,2,1,10,,R 7 200
2 Bedroom Apartment,Pritoria,Mooikloof Manor,2,2,1,,R 9 800
10 Bedroom House,Pritoria,Pretoria North,10,4,2,,R 3 500
1 Bedroom Apartment,Pritoria,Silver Lakes,1,1,2,,R 8 500
3 Bedroom Apartment,Pritoria,Willow Park Manor,3,2,4,,R 16 995
4 Bedroom House,Pritoria,Pretoria Gardens,4,2,3,,R 10 500
6 Bedroom House,Pritoria,Waterkloof Ridge,6,6.5,6,,R 65 000
4 Bedroom House,Pritoria,Rietfontein,4,3,1,,R 15 990
3 Bedroom House,Pritoria,Willow Acres,3,2.5,1,,R 25 000
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,1,,R 8 500
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,6,,R 7 800
2 Bedroom Apartment,Pritoria,Mooikloof Manor,2,2,,,R 9 800
1 Bedroom Apartment,Pritoria,Pretoria North,1,1,,,R 5 100
4 Bedroom Townhouse,Pritoria,Zambezi Manor Lifestyle Estate,4,3,,,R 40 000
2 Bedroom Townhouse,Pritoria,Waverley,2,2,3,50 m²,R 11 300
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,40 m²,R 8 200
5 Bedroom House,Pritoria,Woodhill Golf Estate,5,4,8,121 m²,R 75 000
2 Bedroom Apartment,Pritoria,Hatfield,2,2,2,9 m²,R 18 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,58 m²,R 10 000
2 Bedroom Apartment,Pritoria,Paramount Estate,2,2,1,43 m²,R 9 500
Apartment,Pritoria,Arcadia,1.5,1,1,148 m²,R 3 003
1.5 Bedroom Apartment,Pritoria,Muckleneuk,2,1,2,148 m²,R 5 500
Apartment,Pritoria,Silver Lakes,1,1,1,140 m²,R 10 000
2 Bedroom Apartment,Pritoria,Equestria,1,1,1,140 m²,R 8 600
1 Bedroom Apartment,Pritoria,Doornpoort,3,1,3,140 m²,R 8 500
1 Bedroom House,Pritoria,Sinoville,2,2,2,140 m²,R 5 500
3 Bedroom House,Pritoria,Nellmapius,3,1,3,140 m²,R 8 500
2 Bedroom Apartment,Pritoria,Equestria,3,2,3,,R 8 600
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,2,,R 17 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,,R 17 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,,2.5,,,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,,,,,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,140 m²,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,140 m²,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,139 m²,R 19 000
4 Bedroom House,Pritoria,Rietfontein,4,3,4,42 m²,R 25 000
1 Bedroom Apartment,Pritoria,Arcadia,1,1,1,85 m²,R 5 090
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,64 m²,R 13 400
4 Bedroom House,Pritoria,Waterkloof Ridge,4,4,8,139 m²,R 40 000
2 Bedroom Apartment,Pritoria,Montana Tuine,2,1,2,115 m²,R 7 400
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,2,50 m²,R 10 175
3 Bedroom Townhouse,Pritoria,Silverton,3,2.5,4,,R 23 500
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,2.5,3,,R 48 000
2 Bedroom Apartment,Pritoria,Mooikloof Manor,2,2,1,,R 9 800
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,,R 19 000
2 Bedroom Townhouse,Pritoria,Montana,2,2.5,2,,R 10 170
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,2,,R 11 900
1 Bedroom House,Pritoria,Brooklyn,1,1,1,,R 6 500
0.5 Bedroom Apartment,Pritoria,Sunnyside,0.5,1,2,,R 3 700
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,1,,R 20 888
1 Bedroom Apartment,Pritoria,Annlin-Wes,1,1,3,,R 6 150
3 Bedroom House,Pritoria,Waterkloof Ridge,3,2,1,,R 40 000
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,,,R 9 990
3 Bedroom Townhouse,Pritoria,Sinoville,3,2.5,2,70 m²,R 20 000
2 Bedroom Apartment,Pritoria,Hatfield,2,2,2,72 m²,R 11 250
2 Bedroom Townhouse,Pritoria,Silver Lakes Golf Estate,2,1,1,50 m²,R 16 500
1 Bedroom Apartment,Pritoria,Hillcrest,1,1,1,60 m²,R 4 550
2 Bedroom Apartment,Pritoria,Magalieskruin,2,2,1,54 m²,R 7 680
4 Bedroom House,Pritoria,Florauna,4,2,4,46 m²,R 19 500
3 Bedroom House,Pritoria,Waterkloof Ridge,3,2.5,4,60 m²,R 30 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,3,2,,R 48 000
3 Bedroom House,Pritoria,Kirkney,3,1,1,,R 6 850
4 Bedroom House,Pritoria,Moreleta Park,4,3,10,,R 25 000
1 Bedroom Apartment,Pritoria,Montana,1,1,1,,R 5 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,,R 8 900
3 Bedroom House,Pritoria,Pretoria North,3,2,2,,R 13 500
2 Bedroom Apartment,Pritoria,Muckleneuk,2,1,1,,R 10 000
1 Bedroom Apartment,Pritoria,The Hills Game Reserve Estate,1,1,1,,R 8 500
5 Bedroom Apartment,Pritoria,Sunnyside,5,2,2,,R 2 800
2 Bedroom House,Pritoria,Faerie Glen,2,2,4,,R 22 000
3 Bedroom Townhouse,Pritoria,Equestria,3,2,1,,R 14 500
0.5 Bedroom Apartment,Pritoria,Arcadia,0.5,1,1,,R 4 450
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,,,R 8 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,,,R 8 900
2 Bedroom Apartment,Pritoria,Gezina,2,1,2,67 m²,R 5 500
1 Bedroom Apartment,Pritoria,Florauna,1,1,1,36 m²,R 5 600
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3.5,5,91 m²,R 65 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,45 m²,R 8 000
1 Bedroom Apartment,Pritoria,Hillcrest,1,1,1,92 m²,R 7 900
1 Bedroom Apartment,Pritoria,Hillcrest,1,1,1,84 m²,R 7 900
2 Bedroom Apartment,Pritoria,Lynnwood,2,2,2,,R 16 000
2 Bedroom Apartment,Pritoria,Lynnwood,2,1,2,,R 9 400
2 Bedroom Townhouse,Pritoria,Kilner Park,2,1,2,,R 8 500
2 Bedroom Apartment,Pritoria,Florauna,2,1,1,,R 7 250
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,2,,R 10 175
3 Bedroom House,Pritoria,Waterkloof,3,2,4,,R 22 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,4,,R 8 300
5 Bedroom House,Pritoria,Pretoria North,5,3,5,,R 16 000
6 Bedroom House,Pritoria,Waterkloof Ridge,6,5.5,1,,R 65 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,1,,R 21 500
2 Bedroom Apartment,Pritoria,Wolmer,2,1,2,,R 7 200
2 Bedroom Apartment,Pritoria,Equestria,2,2,4,,R 10 300
3 Bedroom House,Pritoria,Olympus AH,3,2,1,,R 22 400
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,11,,R 11 200
4 Bedroom House,Pritoria,Waterkloof,4,3.5,,,R 70 000
2 Bedroom Apartment,Pritoria,Montana,2,1,2,64 m²,R 7 680
3 Bedroom House,Pritoria,Vissershoek AH,3,1,2,61 m²,R 6 500
2 Bedroom House,Pritoria,Lotus Gardens,2,1,2,55 m²,R 6 500
2 Bedroom House,Pritoria,Magalieskruin,2,1,2,60 m²,R 9 200
3 Bedroom Townhouse,Pritoria,Silverton,3,2,4,60 m²,R 23 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,60 m²,R 9 800
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,60 m²,R 25 300
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,60 m²,R 10 500
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,85 m²,R 10 200
5 Bedroom Townhouse,Pritoria,Arcadia,5,2,1,105 m²,R 15 000
2 Bedroom House,Pritoria,Philip Nel Park,2,1,1,70 m²,R 7 500
2 Bedroom Townhouse,Pritoria,Faerie Glen,2,2,2,,R 12 850
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,,R 10 400
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,,R 10 400
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,,R 10 400
3 Bedroom Apartment,Pritoria,Mooikloof,3,2,2,,R 12 500
2 Bedroom Townhouse,Pritoria,Annlin,2,2,2,,R 9 200
2 Bedroom Apartment,Pritoria,Lynnwood,2,2,2,,R 25 000
2 Bedroom Apartment,Pritoria,Silver Lakes,2,2,1,,R 8 800
0.5 Bedroom Apartment,Pritoria,Sunnyside,0.5,1,1,,R 3 200
2 Bedroom Apartment,Pritoria,Hatfield,2,2,,,R 10 990
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,1,89 m²,R 26 000
3 Bedroom House,Pritoria,Dorandia,3,2,4,68 m²,R 15 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,150 m²,R 6 950
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 5 500
3 Bedroom Townhouse,Pritoria,Zambezi Manor Lifestyle Estate,3,3,2,,R 16 500
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,,R 16 500
Apartment,Pritoria,Menlo Park,2,2,4,,R 11 000
2 Bedroom Apartment,Pritoria,Magalieskruin,4,3,2,,R 8 000
4 Bedroom House,Pritoria,Waterkloof,1,1,2,,R 40 000
1 Bedroom House,Pritoria,Silver Lakes Golf Estate,2,1,2,,R 12 000
2 Bedroom Apartment,Pritoria,Annlin,1,1,2,,R 7 400
1 Bedroom Apartment,Pritoria,Arcadia,2,1,4,,R 13 000
2 Bedroom Apartment,Pritoria,Garsfontein,3,2.5,4,,R 8 550
3 Bedroom Townhouse,Pritoria,Menlo Park,4,3,2,,R 34 000
4 Bedroom House,Pritoria,Waterkloof,2,2,8,,R 40 000
2 Bedroom Apartment,Pritoria,Groenkloof,1,1,2,,R 8 900
1 Bedroom House,Pritoria,Mountain View,4,2.5,1,,R 6 100
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,2,1,1,,R 35 000
2 Bedroom Townhouse,Pritoria,Arcadia,1,1,,,R 8 500
1 Bedroom Apartment,Pritoria,Montana,1,1,,,R 5 400
1 Bedroom Apartment,Pritoria,Pretoria North,,,,,R 5 100
4 Bedroom Townhouse,Pritoria,Magalieskruin,4,2,5,29 m²,R 22 000
0.5 Bedroom Apartment,Pritoria,Philip Nel Park,0.5,1,1,85 m²,R 4 800
3 Bedroom House,Pritoria,Queenswood,3,2,4,65 m²,R 20 350
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,1,12 m²,R 12 320
2 Bedroom House,Pritoria,Silver Lakes Golf Estate,2,2,1,40 m²,R 18 000
2 Bedroom Apartment,Pritoria,Mooikloof Glen,2,2,2,92 m²,R 9 800
1 Bedroom Apartment,Pritoria,Gezina,1,1,2,88 m²,R 3 500
3 Bedroom House,Pritoria,Waterkloof,3,2.5,1,38 m²,R 38 000
0.5 Bedroom Apartment,Pritoria,Pretoria Central,0.5,1,3,129 m²,R 4 620
4 Bedroom Townhouse,Pritoria,Brooklyn,4,2,12,,R 25 000
4 Bedroom House,Pritoria,Sinoville,4,2,2,,R 24 500
3 Bedroom Townhouse,Pritoria,Lynnwood Glen,3,2.5,1,,R 20 000
1 Bedroom Apartment,Pritoria,Lynnwood,1,1,2,,R 14 200
2 Bedroom Apartment,Pritoria,Menlyn,2,2.5,2,,R 21 899
2 Bedroom Apartment,Pritoria,Waterkloof Glen,2,2,1,,R 46 000
0.5 Bedroom Apartment,Pritoria,Hazeldean,0.5,1,3,,R 5 390
5 Bedroom House,Pritoria,Waterkloof Ridge,5,4,2,,R 45 000
3 Bedroom Townhouse,Pritoria,Moreleta Park,3,2,3,,R 14 000
5 Bedroom House,Pritoria,Waterkloof Ridge,5,4,1,,R 45 000
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,4,,R 8 990
