Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
4 Bedroom Townhouse,Pritoria,Hatfield,4,2,1,63 m²,R 17 500
3 Bedroom Townhouse,Pritoria,Six Fountains Residential Estate,3,2,2,123 m²,R 22 000
2 Bedroom Apartment,Pritoria,Hazeldean,2,1,1,44 m²,R 9 250
2 Bedroom Apartment,Pritoria,Boardwalk,2,1,1,80 m²,R 8 100
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,4,56 m²,R 9 500
1 Bedroom House,Pritoria,Equestria,1,1,1,56 m²,R 10 200
2 Bedroom Apartment,Pritoria,Roodeplaat,2,2,2,60 m²,R 10 480
3 Bedroom House,Pritoria,Lombardy Estate,3,2,2,50 m²,R 36 000
2 Bedroom Apartment,Pritoria,La Montagne,2,1,1,,R 8 300
2 Bedroom Apartment,Pritoria,Arcadia,2,1,1,,R 7 350
1 Bedroom Apartment,Pritoria,Menlyn,1,1,3,,R 21 000
2 Bedroom Apartment,Pritoria,Erasmus Park,2,1,4,,R 9 000
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,,,R 7 600
5 Bedroom House,Pritoria,Elarduspark,5,3,,,R 19 900
3 Bedroom House,Pritoria,Waterkloof Ridge,3,3,,,R 49 000
1 Bedroom Apartment,Pritoria,Lynnwood Glen,1,1,1,44 m²,R 9 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,48 m²,R 8 100
2 Bedroom Apartment,Pritoria,Roodeplaat,2,1,1,75 m²,R 9 800
2 Bedroom Apartment,Pritoria,La Montagne,2,1.5,2,90 m²,R 9 500
2 Bedroom Townhouse,Pritoria,Mooikloof Ridge,2,1,2,81 m²,R 7 300
2 Bedroom Apartment,Pritoria,Roodeplaat,2,1,1,70 m²,R 10 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,88 m²,R 10 600
1 Bedroom Apartment,Pritoria,Silverton,1,1,2,40 m²,R 3 700
1 Bedroom Townhouse,Pritoria,Pretoria North,1,1.5,1,41 m²,R 5 100
1 Bedroom Apartment,Pritoria,Philip Nel Park,1,1,2,101 m²,R 6 050
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,2,58 m²,R 9 800
1 Bedroom Apartment,Pritoria,Erasmus Park,1,1,4.5,107 m²,R 8 600
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,75 m²,R 16 300
2 Bedroom Apartment,Pritoria,Roodeplaat,2,1,1,83 m²,R 9 250
3 Bedroom House,Pritoria,Lynnwood Ridge,3,2,1,83 m²,R 22 000
5 Bedroom House,Pritoria,Sable Hills,5,5,,63 m²,R 35 000
2 Bedroom Apartment,Pritoria,Montana,2,2,,58 m²,R 8 600
2 Bedroom Townhouse,Pritoria,Mooikloof Ridge,2,1,,,R 8 350
2 Bedroom Townhouse,Pritoria,Mooikloof Ridge,2,1,,,R 8 350
2 Bedroom Apartment,Pritoria,Moregloed,2,2,,,R 10 250
2 Bedroom Apartment,Pritoria,Waverley,2,1,,,R 10 250
3 Bedroom House,Pritoria,Rietvalleirand,3,3,4,385 m²,R 23 500
2 Bedroom Apartment,Pritoria,Wonderboom,2,1,1,98 m²,R 4 150
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,135 m²,R 9 800
3 Bedroom House,Pritoria,Wonderboom,3,2,2,105 m²,R 15 750
3 Bedroom Apartment,Pritoria,Hazeldean,3,2,1,40 m²,R 9 500
2 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,1,131 m²,R 6 230
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,40 m²,R 6 680
2 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,1,98 m²,R 6 340
3 Bedroom Townhouse,Pritoria,Hazeldean,3,2,4,99 m²,R 18 000
2 Bedroom Townhouse,Pritoria,Rietvalleirand,2,2,2,63 m²,R 14 500
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,74 m²,R 6 680
3 Bedroom Townhouse,Pritoria,Capital Park,3,1.5,4,32 m²,R 10 000
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,123 m²,R 9 800
2 Bedroom Apartment,Pritoria,Menlo Park,2,2.5,2,45 m²,R 14 000
2 Bedroom Apartment,Pritoria,Waverley,2,2,2,,R 10 250
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,1,,R 13 000
1 Bedroom Apartment,Pritoria,Arcadia,1,1,1,,R 5 831
1 Bedroom Apartment,Pritoria,Florauna,1,1,1,,R 3 180
2 Bedroom Apartment,Pritoria,Doornpoort,2,1,1,,R 5 520
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,58,,R 9 500
58 Bedroom Apartment,Pritoria,Waterkloof,58,58,,,R 10 990
2 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,1,104 m²,R 5 950
3 Bedroom Townhouse,Pritoria,Equestria,3,1,4,104 m²,R 9 000
2 Bedroom Townhouse,Pritoria,Die Wilgers,2,2,3,125 m²,R 14 000
3 Bedroom House,Pritoria,Newmark Estate,3,2.5,4,82 m²,R 28 000
3 Bedroom Apartment,Pritoria,Hazeldean,3,2,1,41 m²,R 9 800
